id,financing_type_id,name
1,2,ABC Capital
2,2,Afirme
3,2,Actinver
4,2,Banco Azteca
5,2,Banco del Bajío
6,2,Inbursa
7,2,Invex
8,2,JP Morgan
9,2,Monex
10,2,Multiva
11,2,Santander
12,2,Banorte
13,2,Barclays Bank México
14,2,BBVA
15,2,Citibanamex
16,2,HSBC
17,2,Scotiabank
18,8,Liverpool
19,8,Suburbia
20,8,Sears
21,8,Sanborns
22,7,eToro
23,7,Interactive Brokers
24,7,Admirals
25,7,Hapi
26,7,Bursanet
27,7,GBMhomebroker
28,7,Finamex
29,7,Weltio
30,7,Vest
31,7,Bitso
32,9,PayPal
33,9,Mercado Libre
34,9,Rappi
35,9,Google Play
36,9,Apple pay
37,9,American Express
